"PACIENTE_id","PERSONA_DNI","CENTROSANITARIO_id","FechaDeInternacion","CovidTest","EstadoEvolutivo"
1,3908897707,277,"4/12/2020",1,"5"
2,2109967790,184,"4/1/2020",1,"5"
3,429500671,155,"6/10/2020",1,"2"
4,1575573467,132,"4/27/2020",1,"2"
5,2539464606,247,"4/6/2020",1,"4"
6,2539464514,121,"5/7/2020",1,"4"
7,3479400814,122,"5/28/2020",1,"5"
8,2539464432,149,"6/6/2020",1,"3"
9,429500689,23,"4/12/2020",0,null
10,2109967792,146,"5/26/2020",1,null
11,1146076726,151,"5/1/2020",0,"1"
12,2959488927,79,"6/8/2020",1,"4"
13,2539464552,205,"6/7/2020",1,null
14,2539464617,211,"6/12/2020",1,"1"
15,3479400830,171,"5/31/2020",0,"1"
16,3829,15,"4/3/2020",0,"3"
17,2539464523,255,"6/20/2020",1,"5"
18,2109967830,163,"4/23/2020",0,null
19,2959488890,58,"4/12/2020",1,"2"
20,1575573506,231,"4/16/2020",1,"5"
21,429500632,59,"6/21/2020",1,"1"
22,2959489036,75,"5/8/2020",1,null
23,2109967729,123,"4/29/2020",0,"2"
24,2109967861,262,"4/26/2020",1,"2"
25,3388985771,3,"5/6/2020",1,"2"
26,3479400848,205,"4/23/2020",1,"1"
27,2539464510,188,"5/3/2020",1,null
28,429500571,81,"5/22/2020",1,null
29,2539464621,240,"6/15/2020",0,"4"
30,3908897512,37,"4/16/2020",0,"1"
31,3388985644,248,"6/11/2020",1,"2"
32,2539464601,169,"5/3/2020",1,"2"
33,3388985656,120,"5/29/2020",1,null
34,3479401029,268,"6/1/2020",1,"3"
35,429500520,55,"6/11/2020",0,"2"
36,3479400797,46,"5/14/2020",0,"3"
37,3908897516,154,"4/24/2020",0,null
38,2959489026,46,"5/31/2020",1,"5"
39,3479400857,231,"5/8/2020",0,"3"
40,3908897634,38,"4/25/2020",1,null
41,2109967877,28,"4/30/2020",0,"5"
42,2109967804,216,"6/14/2020",0,null
43,3388985738,111,"4/19/2020",1,"2"
44,2959488857,243,"4/1/2020",0,"1"
45,429500464,220,"5/1/2020",0,null
46,2959489088,143,"5/11/2020",1,"3"
47,2539464544,91,"5/29/2020",1,"5"
48,2109967759,225,"6/21/2020",0,null
49,2959488986,169,"5/29/2020",1,"2"
50,3388985765,115,"6/6/2020",1,null
51,2539464549,142,"4/2/2020",1,"4"
52,429500570,116,"5/10/2020",1,"4"
53,3908897622,147,"6/7/2020",0,"3"
54,429500480,177,"6/12/2020",0,"3"
55,2959489077,3,"4/24/2020",1,"2"
56,2109967718,82,"5/30/2020",1,"4"
57,2959489004,146,"4/17/2020",1,"1"
58,1575573536,250,"6/3/2020",0,"5"
59,2109967731,172,"6/6/2020",0,"2"
60,2109967858,183,"4/24/2020",0,"3"
61,429500510,135,"4/28/2020",0,"5"
62,2959488905,183,"6/6/2020",0,"4"
63,3388985695,110,"4/27/2020",0,"5"
64,3797,47,"5/1/2020",0,"4"
65,3479400863,72,"5/7/2020",1,"4"
66,3908897548,139,"5/24/2020",1,"3"
67,429500670,107,"5/9/2020",0,"1"
68,429500441,240,"6/20/2020",0,"4"
69,1146076848,267,"5/31/2020",0,null
70,3388985709,1,"4/17/2020",1,"2"
71,3768,20,"5/17/2020",1,"3"
72,2959489036,35,"5/19/2020",1,"4"
73,3908897742,17,"5/2/2020",1,"4"
74,1146076895,276,"4/23/2020",1,"3"
75,3388985615,6,"6/20/2020",0,"5"
76,3479400991,212,"5/4/2020",0,null
77,3876,269,"5/20/2020",0,null
78,2959489049,125,"5/21/2020",1,"3"
79,2539464382,76,"5/2/2020",1,"3"
80,1575573455,163,"4/25/2020",1,"5"
81,2539464408,85,"6/1/2020",0,"5"
82,3479400929,86,"4/14/2020",1,"2"
83,429500565,217,"6/17/2020",0,null
84,3754,196,"6/1/2020",1,"5"
85,1575573679,40,"5/27/2020",0,"1"
86,2109967754,127,"4/6/2020",1,"2"
87,2959488886,168,"6/12/2020",1,"4"
88,3908897718,165,"4/25/2020",0,"1"
89,429500646,206,"5/8/2020",1,"2"
90,429500656,159,"5/23/2020",1,"2"
91,2959488878,202,"4/24/2020",0,"3"
92,2539464558,268,"4/3/2020",0,"1"
93,3766,241,"4/9/2020",0,"3"
94,3908897693,272,"4/16/2020",1,"2"
95,3766,111,"4/5/2020",1,"3"
96,2109967864,115,"5/24/2020",0,"4"
97,429500469,93,"6/19/2020",1,"1"
98,2539464583,270,"4/29/2020",0,"4"
99,2109967756,182,"6/16/2020",0,"5"
100,3388985787,99,"6/19/2020",0,"1"
101,3388985656,231,"6/19/2020",1,null
102,1575573567,36,"4/2/2020",1,"3"
103,2959488982,160,"6/18/2020",1,"4"
104,2959488892,141,"5/17/2020",1,null
105,2959488949,81,"5/1/2020",1,"2"
106,2959488917,90,"6/21/2020",1,"1"
107,429500506,183,"4/20/2020",1,"4"
108,1575573550,120,"5/25/2020",1,"5"
109,3823,136,"5/12/2020",0,"1"
110,2109967791,233,"5/5/2020",0,"1"
111,2959488941,207,"4/7/2020",0,"4"
112,1575573560,71,"5/28/2020",1,"4"
113,3388985774,36,"4/23/2020",0,"2"
114,2539464420,120,"5/5/2020",1,"5"
115,429500605,227,"5/22/2020",1,"5"
116,3908897695,243,"5/4/2020",1,"1"
117,3908897527,23,"4/28/2020",0,"3"
118,2109967827,123,"4/29/2020",0,"4"
119,2959488952,26,"6/12/2020",0,"3"
120,2539464466,43,"4/23/2020",0,"5"
121,2959488917,169,"4/23/2020",0,"3"
122,1146076923,170,"6/1/2020",1,null
123,2959489007,278,"4/10/2020",1,"5"
124,2539464470,179,"5/12/2020",0,"2"
125,3479400852,86,"4/29/2020",1,"2"
126,3479400961,117,"5/16/2020",1,"5"
127,1575573502,102,"6/14/2020",1,"4"
128,1146076853,157,"4/15/2020",0,"3"
129,3479400974,271,"6/12/2020",1,"5"
130,3388985662,241,"4/22/2020",1,"5"
131,1575573441,146,"6/17/2020",1,"4"
132,3908897560,218,"5/9/2020",1,"2"
133,3479400822,275,"5/17/2020",1,"1"
134,2539464630,232,"6/21/2020",1,"5"
135,3777,221,"5/5/2020",1,"3"
136,1575573585,49,"4/12/2020",0,null
137,2959489070,69,"4/3/2020",0,null
138,3773,95,"6/21/2020",0,"3"
139,1146076926,184,"5/19/2020",1,null
140,2109967703,159,"6/19/2020",0,null
141,3388985713,76,"5/11/2020",0,"2"
142,1575573513,263,"6/14/2020",0,"5"
143,2109967816,256,"4/27/2020",1,"5"
144,1146076774,83,"4/11/2020",0,"3"
145,2539464567,139,"6/3/2020",1,"3"
146,2539464463,237,"4/30/2020",0,"1"
147,3908897568,131,"6/18/2020",0,"2"
148,2109967729,224,"4/7/2020",0,"3"
149,1146076726,205,"6/10/2020",1,"4"
150,2539464612,53,"6/3/2020",1,"2"
151,2539464462,158,"6/4/2020",1,"2"
152,2109967815,78,"6/10/2020",1,"4"
153,3479400920,124,"4/5/2020",1,null
